City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
534,notre dame,-20.1406,57.5531,299.91,80,9,7.15,MU,1736446955
535,wapakoneta,40.5678,-84.1936,270.17,67,0,0.0,US,1736446956
536,monopoli,40.9559,17.2896,286.71,74,97,5.75,IT,1736446958
537,santiago de cao,-7.9589,-79.2392,293.22,83,75,5.14,PE,1736446959
538,novodvinsk,64.4165,40.8122,269.01,94,100,6.92,RU,1736446716
539,ketchikan,55.3422,-131.6461,282.95,88,100,10.29,US,1736446799
540,lichuan,30.3,108.85,271.79,92,98,0.7,CN,1736446832
541,rongelap,11.1635,166.8941,300.46,80,15,10.57,MH,1736446964
542,ekibastuz,51.6667,75.3667,267.29,73,100,8.56,KZ,1736446965
543,mogadishu,2.0371,45.3438,298.09,80,93,8.91,SO,1736446967
544,oistins,13.0667,-59.5333,302.2,54,40,2.57,BB,1736446968
545,hassi messaoud,31.6804,6.0729,287.07,35,0,2.06,DZ,1736446969
546,ulladulla,-35.35,150.4667,291.03,95,99,3.01,AU,1736446970
547,taoudenni,22.6783,-3.9836,293.5,14,3,4.67,ML,1736446972
548,port-cartier,50.0334,-66.8654,276.2,72,100,7.52,CA,1736446793
549,magdagachi,53.45,125.8,248.48,93,13,1.82,RU,1736446975
550,rawson,-43.3002,-65.1023,292.31,34,0,7.72,AR,1736446976
551,mandal,25.45,74.5667,286.68,41,4,2.73,IN,1736446977
552,sampit,-2.5333,112.95,297.16,98,83,1.0,ID,1736446978
553,kwang binh,17.4833,106.6,292.21,90,97,6.85,VN,1736446979
554,cill airne,52.05,-9.5167,272.18,100,0,1.54,IE,1736446980
555,thief river falls,48.1191,-96.1812,269.11,93,100,3.6,US,1736446982
556,monrovia,6.3005,-10.7969,301.36,75,79,4.47,LR,1736446719
557,el charco,2.4769,-78.1105,299.16,90,98,3.68,CO,1736446984
558,bubaque,11.2833,-15.8333,299.06,73,22,6.21,GW,1736446985
559,barra,-11.0894,-43.1417,301.73,58,84,2.7,BR,1736446986
560,villa emilio carranza,19.9667,-96.6,292.96,73,90,3.39,MX,1736446987
561,cosala,24.4125,-106.6908,288.58,87,100,1.66,MX,1736446989
562,ojinaga,29.5667,-104.4167,281.25,52,40,1.54,MX,1736446990
563,ad dabbah,18.05,30.95,294.52,23,12,4.41,SD,1736446991
564,igrim,63.1906,64.4162,262.2,95,100,4.4,RU,1736446992
565,neuville-sur-saone,45.877,4.8492,281.04,79,75,11.32,FR,1736446993
